Attaching 317 probes...
Tracing syscalls for something. Ctrl-C to stop.
TIME      PID    EVENT 
15788849 µs:   9231   oggenc           tracepoint:syscalls:sys_enter_mprotect [3] arg0:-545148928 arg1:4096 arg2:1 
15788865 µs:   9231   oggenc             tracepoint:syscalls:sys_enter_munmap [2] arg0:-545558528 arg1:235491 
15789006 µs:   9231   oggenc                tracepoint:syscalls:sys_enter_brk [1] arg0:0 
15789019 µs:   9231   oggenc                tracepoint:syscalls:sys_enter_brk [1] arg0:-857374720 
15789043 µs:   9231   oggenc             tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x7fa7deef5290 arg2:524288 arg3:0 
15789064 µs:   9231   oggenc           tracepoint:syscalls:sys_enter_newfstat [2] arg0:3 arg1:0x7fa7def255e0 
15789076 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_mmap [5] arg0:(nil) arg1:3346512 arg2:1 arg3:2 arg4:3 
15789094 µs:   9231   oggenc              tracepoint:syscalls:sys_enter_close [1] arg0:3 
15789165 µs:   9231   oggenc             tracepoint:syscalls:sys_enter_getpid [0] 
15789188 µs:   9231   oggenc             tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x7ffdbcdad39c arg2:0 arg3:0 
15789208 µs:   9231   oggenc           tracepoint:syscalls:sys_enter_newfstat [2] arg0:3 arg1:0x7ffdbcdabe70 
15789225 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x5558cce38650 arg2:4096 
15815294 µs:   9231   oggenc             tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x7ffdbcdabba0 arg2:524288 arg3:0 
15815332 µs:   9231   oggenc           tracepoint:syscalls:sys_enter_newfstat [2] arg0:4 arg1:0x7ffdbcdab9f0 
15815354 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x5558cce39940 arg2:4096 
15815388 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x5558cce39940 arg2:4096 
15815398 µs:   9231   oggenc              tracepoint:syscalls:sys_enter_close [1] arg0:4 
15815428 µs:   9231   oggenc             tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x5558cce399b0 arg2:0 arg3:0 
15815443 µs:   9231   oggenc             tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x5558cce39c10 arg2:0 arg3:0 
