Attaching 317 probes...
Tracing syscalls for something. Ctrl-C to stop.
TIME      PID    EVENT 
6155164 µs:   11940  gunzip     tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:0 arg1:(nil) arg2:0x558cbd127808 arg3:8 
6155229 µs:   11940  gunzip             tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x558cbd47aae0 arg2:0 arg3:0 
6155267 µs:   11940  gunzip            tracepoint:syscalls:sys_enter_newstat [2] arg0:0x558cbd47aae0 arg1:0x7ffe86575fd0 
6155297 µs:   11940  gunzip              tracepoint:syscalls:sys_enter_ioctl [3] arg0:3 arg1:21505 arg2:-2041094176 
6155316 µs:   11940  gunzip              tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:0 arg2:1 
6155332 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffe86576140 arg2:80 
6155350 µs:   11940  gunzip              tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:0 arg2:0 
6155368 µs:   11940  gunzip          tracepoint:syscalls:sys_enter_prlimit64 [4] arg0:0 arg1:7 arg2:(nil) arg3:0x7ffe86576010 
6155385 µs:   11940  gunzip              tracepoint:syscalls:sys_enter_fcntl [3] arg0:255 arg1:1 arg2:-2041094076 
6155402 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_dup2 [2] arg0:3 arg1:255 
6155423 µs:   11940  gunzip              tracepoint:syscalls:sys_enter_close [1] arg0:3 
6155438 µs:   11940  gunzip              tracepoint:syscalls:sys_enter_fcntl [3] arg0:255 arg1:2 arg2:1 
6155454 µs:   11940  gunzip              tracepoint:syscalls:sys_enter_fcntl [3] arg0:255 arg1:3 arg2:0 
6155470 µs:   11940  gunzip           tracepoint:syscalls:sys_enter_newfstat [2] arg0:255 arg1:0x7ffe86575f90 
6155485 µs:   11940  gunzip              tracepoint:syscalls:sys_enter_lseek [3] arg0:255 arg1:0 arg2:1 
6155518 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_read [3] arg0:255 arg1:0x558cbd47abf0 arg2:2346 
6156399 µs:   11940  gunzip            tracepoint:syscalls:sys_enter_newstat [2] arg0:0x558cbd0e91ab arg1:0x7ffe86575cf0 
6156443 µs:   11940  gunzip            tracepoint:syscalls:sys_enter_newstat [2] arg0:0x558cbd47d7c0 arg1:0x7ffe86575be0 
6156470 µs:   11940  gunzip            tracepoint:syscalls:sys_enter_newstat [2] arg0:0x558cbd47f940 arg1:0x7ffe86575be0 
6156495 µs:   11940  gunzip            tracepoint:syscalls:sys_enter_newstat [2] arg0:0x558cbd47f940 arg1:0x7ffe86575be0 
6156517 µs:   11940  gunzip            tracepoint:syscalls:sys_enter_newstat [2] arg0:0x558cbd47f940 arg1:0x7ffe86575b00 
6156538 µs:   11940  gunzip            tracepoint:syscalls:sys_enter_geteuid [0] 
6156556 µs:   11940  gunzip            tracepoint:syscalls:sys_enter_getegid [0] 
6156575 µs:   11940  gunzip             tracepoint:syscalls:sys_enter_getuid [0] 
6156596 µs:   11940  gunzip             tracepoint:syscalls:sys_enter_getgid [0] 
6156616 µs:   11940  gunzip             tracepoint:syscalls:sys_enter_access [2] arg0:0x558cbd47f940 arg1:1 
6156669 µs:   11940  gunzip            tracepoint:syscalls:sys_enter_newstat [2] arg0:0x558cbd47f940 arg1:0x7ffe86575b00 
6156692 µs:   11940  gunzip            tracepoint:syscalls:sys_enter_geteuid [0] 
6156720 µs:   11940  gunzip            tracepoint:syscalls:sys_enter_getegid [0] 
6156735 µs:   11940  gunzip             tracepoint:syscalls:sys_enter_getuid [0] 
6156752 µs:   11940  gunzip             tracepoint:syscalls:sys_enter_getgid [0] 
6156768 µs:   11940  gunzip             tracepoint:syscalls:sys_enter_access [2] arg0:0x558cbd47f940 arg1:4 
6156789 µs:   11940  gunzip            tracepoint:syscalls:sys_enter_newstat [2] arg0:0x558cbd47f940 arg1:0x7ffe86575c10 
6156812 µs:   11940  gunzip            tracepoint:syscalls:sys_enter_newstat [2] arg0:0x558cbd47f940 arg1:0x7ffe86575b30 
6156829 µs:   11940  gunzip            tracepoint:syscalls:sys_enter_geteuid [0] 
6156844 µs:   11940  gunzip            tracepoint:syscalls:sys_enter_getegid [0] 
6156859 µs:   11940  gunzip             tracepoint:syscalls:sys_enter_getuid [0] 
6156874 µs:   11940  gunzip             tracepoint:syscalls:sys_enter_getgid [0] 
