Attaching 317 probes...
Tracing syscalls for something. Ctrl-C to stop.
TIME      PID    EVENT 
7307451 µs:   11523  gunzip             tracepoint:syscalls:sys_enter_getuid [0] 
7307467 µs:   11523  gunzip             tracepoint:syscalls:sys_enter_getgid [0] 
7307475 µs:   11523  gunzip            tracepoint:syscalls:sys_enter_geteuid [0] 
7307483 µs:   11523  gunzip            tracepoint:syscalls:sys_enter_getegid [0] 
7307511 µs:   11523  gunzip     tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:0 arg1:(nil) arg2:0x55b308640cc8 arg3:8 
7307548 µs:   11523  gunzip              tracepoint:syscalls:sys_enter_ioctl [3] arg0:-1 arg1:21519 arg2:779182212 
7307562 µs:   11523  gunzip            tracepoint:syscalls:sys_enter_sysinfo [1] arg0:0x7ffc2e715df0 
7307597 µs:   11523  gunzip       tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:17 arg1:0x7ffc2e715cd0 arg2:0x7ffc2e715d70 arg3:8 
7307606 µs:   11523  gunzip       tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:17 arg1:0x7ffc2e715cd0 arg2:0x7ffc2e715d70 arg3:8 
7307613 µs:   11523  gunzip       tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:2 arg1:0x7ffc2e715cd0 arg2:0x7ffc2e715d70 arg3:8 
7307621 µs:   11523  gunzip       tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:2 arg1:0x7ffc2e715cd0 arg2:0x7ffc2e715d70 arg3:8 
7307629 µs:   11523  gunzip       tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:3 arg1:0x7ffc2e715cd0 arg2:0x7ffc2e715d70 arg3:8 
7307637 µs:   11523  gunzip       tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:3 arg1:0x7ffc2e715cd0 arg2:0x7ffc2e715d70 arg3:8 
7307644 µs:   11523  gunzip       tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:20 arg1:0x7ffc2e715cb0 arg2:0x7ffc2e715d50 arg3:8 
7307651 µs:   11523  gunzip       tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:20 arg1:0x7ffc2e715cb0 arg2:0x7ffc2e715d50 arg3:8 
7307659 µs:   11523  gunzip       tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:21 arg1:0x7ffc2e715cb0 arg2:0x7ffc2e715d50 arg3:8 
7307666 µs:   11523  gunzip       tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:21 arg1:0x7ffc2e715cb0 arg2:0x7ffc2e715d50 arg3:8 
7307673 µs:   11523  gunzip       tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:22 arg1:0x7ffc2e715cb0 arg2:0x7ffc2e715d50 arg3:8 
7307680 µs:   11523  gunzip       tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:22 arg1:0x7ffc2e715cb0 arg2:0x7ffc2e715d50 arg3:8 
7307688 µs:   11523  gunzip     tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:0 arg1:(nil) arg2:0x55b308645740 arg3:8 
