Attaching 317 probes...
Tracing syscalls for something. Ctrl-C to stop.
TIME      PID    EVENT 
7636166 µs:   11788  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55a3f5fe4740 arg2:16384 
7636594 µs:   11788  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x55a3f5ff1340 arg2:32768 
7638665 µs:   11788  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55a3f5fe4740 arg2:16384 
7638817 µs:   11788  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55a3f5fe4740 arg2:16384 
7639139 µs:   11788  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x55a3f5ff1340 arg2:32768 
7640588 µs:   11788  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55a3f5fe4740 arg2:16384 
7640744 µs:   11788  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55a3f5fe4740 arg2:16384 
7640932 µs:   11788  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x55a3f5ff1340 arg2:32768 
7642776 µs:   11788  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x55a3f5ff1340 arg2:32768 
7643103 µs:   11788  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55a3f5fe4740 arg2:16384 
7643227 µs:   11788  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55a3f5fe4740 arg2:16384 
7644330 µs:   11788  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x55a3f5ff1340 arg2:32768 
7644863 µs:   11788  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55a3f5fe4740 arg2:16384 
7645031 µs:   11788  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55a3f5fe4740 arg2:16384 
7646213 µs:   11788  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x55a3f5ff1340 arg2:32768 
7646744 µs:   11788  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55a3f5fe4740 arg2:16384 
7646864 µs:   11788  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55a3f5fe4740 arg2:16384 
7647699 µs:   11788  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x55a3f5ff1340 arg2:32768 
7648250 µs:   11788  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55a3f5fe4740 arg2:16384 
7648346 µs:   11788  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55a3f5fe4740 arg2:16384 
7649349 µs:   11788  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x55a3f5ff1340 arg2:32768 
7650051 µs:   11788  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55a3f5fe4740 arg2:16384 
7650184 µs:   11788  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55a3f5fe4740 arg2:16384 
7651237 µs:   11788  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x55a3f5ff1340 arg2:32768 
7651899 µs:   11788  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55a3f5fe4740 arg2:16384 
7652059 µs:   11788  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55a3f5fe4740 arg2:16384 
7652951 µs:   11788  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x55a3f5ff1340 arg2:32768 
7653278 µs:   11788  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x55a3f5ff7b3a arg2:6150 
