Attaching 299 probes...
Tracing syscalls for something. Ctrl-C to stop.
TIME      PID    EVENT 
1494133 µs:   32736  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x5626ece8d340 arg2:32768 
1498414 µs:   32736  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x5626ece8d340 arg2:32768 
1500860 µs:   32736  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x5626ece8d340 arg2:32768 
1503328 µs:   32736  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x5626ece8d340 arg2:32768 
1505706 µs:   32736  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x5626ece8d340 arg2:32768 
1507598 µs:   32736  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x5626ece80740 arg2:16384 
1507835 µs:   32736  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x5626ece80740 arg2:16384 
1508032 µs:   32736  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x5626ece80740 arg2:16384 
1508238 µs:   32736  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x5626ece80740 arg2:16384 
1509139 µs:   32736  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x5626ece8d340 arg2:32768 
1513538 µs:   32736  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x5626ece8d340 arg2:32768 
1516139 µs:   32736  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x5626ece8d340 arg2:32768 
1518616 µs:   32736  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x5626ece8d340 arg2:32768 
1521004 µs:   32736  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x5626ece8d340 arg2:32768 
1523060 µs:   32736  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x5626ece80740 arg2:16384 
1523271 µs:   32736  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x5626ece80740 arg2:16384 
1523453 µs:   32736  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x5626ece80740 arg2:16384 
1523660 µs:   32736  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x5626ece80740 arg2:16384 
1524277 µs:   32736  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x5626ece8d340 arg2:32768 
1526814 µs:   32736  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x5626ece8d340 arg2:32768 
1530950 µs:   32736  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x5626ece8d340 arg2:32768 
1533389 µs:   32736  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x5626ece8d340 arg2:32768 
1535761 µs:   32736  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x5626ece8d340 arg2:32768 
1537619 µs:   32736  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x5626ece80740 arg2:16384 
