Attaching 317 probes...
Tracing syscalls for something. Ctrl-C to stop.
TIME      PID    EVENT 
3514301 µs:   12048  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x55d922250340 arg2:32768 
3515666 µs:   12048  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55d922243740 arg2:16384 
3515847 µs:   12048  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55d922243740 arg2:16384 
3517047 µs:   12048  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x55d922250340 arg2:32768 
3518424 µs:   12048  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55d922243740 arg2:16384 
3518591 µs:   12048  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55d922243740 arg2:16384 
3519735 µs:   12048  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x55d922250340 arg2:32768 
3521087 µs:   12048  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55d922243740 arg2:16384 
3521242 µs:   12048  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55d922243740 arg2:16384 
3522361 µs:   12048  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x55d922250340 arg2:32768 
3523596 µs:   12048  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55d922243740 arg2:16384 
3523726 µs:   12048  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55d922243740 arg2:16384 
3524608 µs:   12048  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x55d922250340 arg2:32768 
3525831 µs:   12048  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55d922243740 arg2:16384 
3526014 µs:   12048  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55d922243740 arg2:16384 
3527215 µs:   12048  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x55d922250340 arg2:32768 
3529024 µs:   12048  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55d922243740 arg2:16384 
3529161 µs:   12048  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55d922243740 arg2:16384 
3529858 µs:   12048  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x55d922250340 arg2:32768 
3531064 µs:   12048  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55d922243740 arg2:16384 
3531187 µs:   12048  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55d922243740 arg2:16384 
3531830 µs:   12048  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x55d922250340 arg2:32768 
